,elbo
667,95.91586303710938
668,86.03257751464844
669,85.15130615234375
670,119.23582458496094
671,96.60786437988281
672,114.40060424804688
673,120.10478210449219
674,91.97575378417969
675,82.96891784667969
676,111.86997985839844
677,86.57322692871094
678,108.15115356445312
679,87.45225524902344
680,87.54713439941406
681,114.41712951660156
682,95.53419494628906
683,68.84402465820312
684,98.84095764160156
685,86.45030212402344
686,94.13197326660156
687,103.21525573730469
688,103.22467041015625
689,97.64532470703125
690,104.02459716796875
691,101.98443603515625
692,109.11985778808594
693,81.09445190429688
694,78.04411315917969
695,119.97235107421875
696,95.78848266601562
697,80.8763427734375
698,84.40763854980469
699,116.61581420898438
700,100.89582824707031
701,96.08071899414062
702,115.2059326171875
703,86.8563232421875
704,137.04563903808594
705,81.09944152832031
706,105.12460327148438
707,84.93638610839844
708,81.97894287109375
709,104.80908203125
710,92.715087890625
711,106.08877563476562
712,103.16912841796875
713,114.61677551269531
714,94.30517578125
715,121.54560852050781
716,72.59487915039062
717,80.7864990234375
718,97.9102783203125
719,99.97552490234375
720,112.08576965332031
721,111.24200439453125
722,88.10830688476562
723,98.65486145019531
724,99.47929382324219
725,107.75166320800781
726,109.64781188964844
727,114.10008239746094
728,132.24209594726562
729,96.48020935058594
730,105.32058715820312
731,107.0023193359375
732,120.35086059570312
733,107.71932983398438
734,116.02117919921875
735,112.45970153808594
736,68.31898498535156
737,99.99888610839844
738,99.53903198242188
739,94.33132934570312
740,114.49064636230469
741,90.24925231933594
742,110.96279907226562
743,93.88740539550781
744,124.17329406738281
745,87.42420959472656
746,102.44256591796875
747,82.9827880859375
748,129.8966064453125
749,84.3961181640625
750,95.37451171875
751,107.296875
752,100.70877075195312
753,91.77923583984375
754,89.50288391113281
755,81.41716003417969
756,90.49531555175781
757,110.81869506835938
758,108.90666198730469
759,80.44668579101562
760,114.99967956542969
761,93.00129699707031
762,134.2314910888672
763,104.09201049804688
764,113.48399353027344
765,98.89140319824219
766,107.02407836914062
767,94.80207824707031
768,94.93327331542969
769,112.86528015136719
770,116.43255615234375
771,76.21192932128906
772,120.8975830078125
773,99.38679504394531
774,97.66668701171875
775,103.82537841796875
776,101.01571655273438
777,115.26919555664062
778,63.07456970214844
779,99.35543823242188
780,96.44215393066406
781,104.045166015625
782,112.01643371582031
783,81.5181884765625
784,88.60179138183594
785,106.01432800292969
786,85.33747863769531
787,106.84373474121094
788,105.90122985839844
789,119.96794128417969
790,101.25140380859375
791,89.21672058105469
792,90.25007629394531
793,95.57737731933594
794,60.26387023925781
795,94.67642211914062
796,101.76670837402344
797,118.42225646972656
798,112.38267517089844
799,117.09414672851562
800,112.56318664550781
801,72.48817443847656
802,87.29957580566406
803,117.89286804199219
804,88.70510864257812
805,106.35743713378906
806,93.14602661132812
807,111.30068969726562
808,93.14894104003906
809,76.32691955566406
810,105.3477783203125
811,99.72154235839844
812,113.44197082519531
813,99.0400390625
814,122.34986877441406
815,104.16510009765625
816,96.40129089355469
817,92.25517272949219
818,108.32518005371094
819,116.15802001953125
820,109.64501953125
821,116.43331909179688
822,111.32728576660156
823,92.32179260253906
824,83.01646423339844
825,92.974365234375
826,120.72892761230469
827,73.28045654296875
828,115.91999816894531
829,105.51312255859375
830,105.73953247070312
831,100.17939758300781
832,82.697509765625
833,101.75978088378906
834,92.73199462890625
835,99.85064697265625
836,109.74638366699219
837,88.41989135742188
838,109.51779174804688
839,109.16923522949219
840,76.82151794433594
841,107.28126525878906
842,99.42939758300781
843,81.51580810546875
844,113.4478759765625
845,95.06771850585938
846,118.74124145507812
847,113.79411315917969
848,101.37228393554688
849,104.4610595703125
850,120.09661865234375
851,99.20634460449219
852,105.29055786132812
853,87.61605834960938
854,90.47740173339844
855,101.72367858886719
856,123.53656005859375
857,88.97894287109375
858,81.84765625
859,102.12944030761719
860,116.58531188964844
861,103.65692138671875
862,108.56317138671875
863,77.61074829101562
864,105.79080200195312
865,119.5269775390625
866,105.05455017089844
867,132.42868041992188
868,94.29283142089844
869,87.13748168945312
870,83.95736694335938
871,93.98135375976562
872,106.21482849121094
873,85.10523986816406
874,97.57920837402344
875,107.84754943847656
876,94.23173522949219
877,118.285400390625
878,95.0635986328125
879,113.12486267089844
880,104.91764831542969
881,98.72431945800781
882,104.60382080078125
883,96.6732177734375
884,97.27008056640625
885,119.62150573730469
886,114.92796325683594
887,92.16879272460938
888,101.35276794433594
889,114.5260009765625
890,80.61209106445312
891,90.1492919921875
892,110.14988708496094
893,84.76304626464844
894,95.74127197265625
895,86.53472900390625
896,120.279052734375
897,84.69845581054688
898,109.66680908203125
899,81.27143859863281
900,131.14561462402344
901,99.96662902832031
902,118.007080078125
903,127.009033203125
904,92.63414001464844
905,97.82032775878906
906,72.87252807617188
907,118.27822875976562
908,68.60255432128906
909,97.50981140136719
910,118.71368408203125
911,99.30526733398438
912,89.45372009277344
913,107.8428955078125
914,95.00942993164062
915,116.54757690429688
916,98.70433044433594
917,105.36421203613281
918,96.88265991210938
919,113.90501403808594
920,99.62940979003906
921,87.83491516113281
922,92.10948181152344
923,88.57394409179688
924,82.11228942871094
925,71.94145202636719
926,102.79368591308594
927,90.42474365234375
928,93.38291931152344
929,95.12701416015625
930,104.06663513183594
931,77.714111328125
932,87.74188232421875
933,70.51358032226562
934,82.71453857421875
935,108.14547729492188
936,106.26319885253906
937,84.46675109863281
938,100.58119201660156
939,113.06729125976562
940,70.8702392578125
941,118.2432861328125
942,92.19610595703125
943,112.08061218261719
944,127.22325134277344
945,99.87509155273438
946,129.0935821533203
947,95.92816162109375
948,109.88249206542969
949,109.25990295410156
950,119.56852722167969
951,114.66716003417969
952,111.09158325195312
953,85.40464782714844
954,88.70664978027344
955,111.61381530761719
956,110.67604064941406
957,131.18807983398438
958,106.98770141601562
959,96.91180419921875
960,109.77464294433594
961,104.58741760253906
962,124.5189208984375
963,67.99891662597656
964,71.71334838867188
965,79.18724060058594
966,117.46339416503906
967,94.46324157714844
968,115.82899475097656
969,101.10604858398438
970,107.01512145996094
971,102.29597473144531
972,102.25767517089844
973,88.98052978515625
974,85.38540649414062
975,120.05197143554688
976,96.01025390625
977,94.80490112304688
978,113.28279113769531
979,77.34498596191406
980,100.07069396972656
981,128.60816955566406
982,96.70742797851562
983,104.04841613769531
984,91.506591796875
985,112.70916748046875
986,82.2498779296875
987,72.67222595214844
988,96.29010009765625
989,108.33753967285156
990,109.097412109375
991,81.62579345703125
992,78.71673583984375
993,80.99142456054688
994,95.56327819824219
995,125.82221984863281
996,98.23992919921875
997,89.32080078125
998,92.55462646484375
999,104.99026489257812
1000,77.801025390625
1001,125.78019714355469
1002,96.01712036132812
1003,96.72732543945312
1004,107.15023803710938
1005,97.54704284667969
1006,91.0372314453125
1007,122.86697387695312
1008,106.59013366699219
1009,103.10670471191406
1010,95.82731628417969
1011,76.89482116699219
1012,69.92172241210938
1013,115.95199584960938
1014,108.29718017578125
1015,97.21014404296875
1016,126.27847290039062
1017,88.96812438964844
1018,96.76234436035156
1019,96.22850036621094
1020,89.96992492675781
1021,74.58595275878906
1022,104.4908447265625
1023,109.81614685058594
1024,86.20036315917969
1025,114.35153198242188
1026,90.79121398925781
1027,77.63624572753906
1028,93.20500183105469
1029,122.41990661621094
1030,116.68251037597656
1031,96.4964599609375
1032,122.13919067382812
1033,102.759033203125
1034,91.69015502929688
1035,103.72181701660156
1036,80.72587585449219
1037,124.06718444824219
1038,112.59260559082031
1039,130.38864135742188
1040,94.79792785644531
1041,89.28099060058594
1042,101.80473327636719
1043,108.54608154296875
1044,115.18507385253906
1045,96.15536499023438
1046,93.66714477539062
1047,104.31892395019531
1048,94.870849609375
1049,81.13545227050781
1050,110.75457763671875
1051,99.08236694335938
1052,112.30625915527344
1053,74.3636474609375
1054,121.34121704101562
1055,110.50564575195312
1056,113.38175964355469
1057,71.52943420410156
1058,105.21697998046875
1059,115.95991516113281
1060,97.6627197265625
1061,95.24284362792969
1062,103.36720275878906
1063,103.03182983398438
1064,104.90245056152344
1065,99.09568786621094
1066,82.48417663574219
1067,102.59860229492188
1068,79.89216613769531
1069,79.25192260742188
1070,95.9700927734375
1071,114.63566589355469
1072,112.73063659667969
1073,107.12055969238281
1074,112.77772521972656
1075,102.71478271484375
1076,120.89724731445312
1077,115.17332458496094
1078,107.97221374511719
1079,74.19343566894531
1080,96.72163391113281
1081,110.76168823242188
1082,109.67892456054688
1083,97.1337890625
1084,77.80621337890625
1085,128.55526733398438
1086,114.11767578125
1087,95.8167724609375
1088,92.798583984375
1089,100.72019958496094
1090,81.10183715820312
1091,95.44691467285156
1092,101.28770446777344
1093,87.71195983886719
1094,116.22428894042969
1095,91.72438049316406
1096,96.29489135742188
1097,98.82757568359375
1098,103.00157165527344
1099,100.37973022460938
1100,124.14741516113281
1101,95.003662109375
1102,95.602783203125
1103,75.55032348632812
1104,95.33723449707031
1105,113.55148315429688
1106,118.70393371582031
1107,96.74583435058594
1108,109.17182922363281
1109,133.2216033935547
1110,102.39175415039062
1111,141.05624389648438
1112,135.11082458496094
1113,101.04365539550781
1114,96.68940734863281
1115,113.21237182617188
1116,109.49954223632812
1117,102.24148559570312
1118,62.735076904296875
1119,93.66319274902344
1120,74.36256408691406
1121,91.8079833984375
1122,101.41390991210938
1123,95.95414733886719
1124,112.28720092773438
1125,78.34635925292969
1126,78.4913330078125
1127,101.51432800292969
1128,90.56085205078125
1129,90.29098510742188
1130,84.53610229492188
1131,112.58390808105469
1132,108.34852600097656
1133,105.82870483398438
1134,110.37539672851562
1135,105.59992980957031
1136,105.296630859375
1137,98.83633422851562
